Public_Food_key,Food_Survey_ID,Food_Category,Food_Name,Measure_ID,Measure_desc,kid_Quantity,kid_Weight_grams,kid_Volume_mLs
F000996,29101,Alcoholic beverages,"Beer, high alcohol (5% v/v & above)",74551,No Measurement,No Measurement,No Measurement,No Measurement
F000994,29101,Alcoholic beverages,"Beer, full strength (alcohol 4-4.9% v/v)",74554,No Measurement,No Measurement,No Measurement,No Measurement
F000995,29101,Alcoholic beverages,"Beer, full strength (alcohol 4-4.9% v/v), carbohydrate modified",74972,No Measurement,No Measurement,No Measurement,No Measurement
F001006,29102,Alcoholic beverages,"Beer, mid-strength (alcohol 3-3.9% v/v)",74971,No Measurement,No Measurement,No Measurement,No Measurement
F001004,29102,Alcoholic beverages,"Beer, light (alcohol 1- <3% v/v)",74558,No Measurement,No Measurement,No Measurement,No Measurement
F000051,29301,Alcoholic beverages,"Alcoholic beverage, spirit, approximately 40% v/v, all (Brandy, Gin, Rum, Vodka and Whisky)",74560,No Measurement,No Measurement,No Measurement,No Measurement
F002955,29401,Alcoholic beverages,"Cider, apple (alcohol approximately 4-5% v/v)",74561,No Measurement,No Measurement,No Measurement,No Measurement
F008402,11503,Non-alcoholic beverages,"Soft drink, cola flavour",74562,can,0.75,390.0,375
F008402,11503,Non-alcoholic beverages,"Soft drink, cola flavour",74563,bottle,0.75,624.0,600
F008403,11503,Non-alcoholic beverages,"Soft drink, cola flavour, decaffeinated",74564,can,0.75,390.0,375
F008403,11503,Non-alcoholic beverages,"Soft drink, cola flavour, decaffeinated",74565,bottle,0.75,624.0,600
F008404,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet",74567,bottle,0.75,600.0,600
F008404,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet",74566,can,0.75,375.0,375
F008405,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",74568,can,0.75,375.0,375
F008405,11504,Non-alcoholic beverages,"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",74569,bottle,0.75,600.0,600
F008421,11603,Non-alcoholic beverages,"Soft drink, energy drink, Red Bull",74570,can,0.75,263.0,250
F008424,11603,Non-alcoholic beverages,"Soft drink, energy drink, V",74571,can,0.75,263.0,250
F008438,11501,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours",74572,can,0.75,390.0,375
F008438,11501,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours",74573,bottle,0.75,624.0,600
F008439,11502,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours, intense sweetened or diet",74575,bottle,0.75,600.0,600
F008439,11502,Non-alcoholic beverages,"Soft drink, lemonade and fruit flavours, intense sweetened or diet",74574,can,0.75,375.0,375
F008460,11501,Non-alcoholic beverages,"Soft drink, tonic water",74576,bottle,0.75,309.0,300
F008461,11502,Non-alcoholic beverages,"Soft drink, tonic water, intense sweetened or diet",74577,bottle,0.75,300.0,300
F003095,13101,Cereal based products and dishes,"Cone, wafer style, for ice cream",74578,cone,0.75,4.0,0
F001420,12302,Cereals and cereal products,"Bread, flat, white, commercial",74580,flat bread or pita bread,0.75,66.0,0
F001420,12302,Cereals and cereal products,"Bread, flat, white, commercial",74579,mountain bread,0.75,25.0,0
F001404,12302,Cereals and cereal products,"Bread, flat (pita or Lebanese), wholemeal, commercial",74582,mountain bread,0.75,25.0,0
F001404,12302,Cereals and cereal products,"Bread, flat (pita or Lebanese), wholemeal, commercial",74581,flat bread or pita bread,0.75,66.0,0
F001463,12201,Cereals and cereal products,"Bread, from white flour",74587,slice,0.75,33.0,0
F001541,12201,Cereals and cereal products,"Bread, from white flour, toasted",74589,slice,0.75,27.0,0
F001466,12202,Cereals and cereal products,"Bread, from white flour, added calcium",74591,slice,0.75,35.0,0
F001467,12202,Cereals and cereal products,"Bread, from white flour, added calcium, toasted",74593,slice,0.75,29.0,0
F001468,12202,Cereals and cereal products,"Bread, from white flour, added fibre",74595,slice,0.75,36.0,0
F001479,12202,Cereals and cereal products,"Bread, from white flour, added fibre, toasted",74597,slice,0.75,30.0,0
F001482,12202,Cereals and cereal products,"Bread, from white flour, added iron",74599,slice,0.75,27.0,0
F001483,12202,Cereals and cereal products,"Bread, from white flour, added iron, toasted",74601,slice,0.75,23.0,0
F001484,12202,Cereals and cereal products,"Bread, from white flour, added omega-3 polyunsaturates",74603,slice,0.75,37.0,0
F001485,12202,Cereals and cereal products,"Bread, from white flour, added omega-3 polyunsaturates, toasted",74605,slice,0.75,31.0,0
F001543,12202,Cereals and cereal products,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe",74607,slice,0.75,35.0,0
F001544,12202,Cereals and cereal products,"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted",74608,slice,0.75,29.0,0
F001528,12201,Cereals and cereal products,"Bread, from white flour, Italian-style, commercial",74613,slice,0.75,27.0,0
F001529,12201,Cereals and cereal products,"Bread, from white flour, Italian-style, commercial, toasted",74615,slice,0.75,23.0,0
F001353,12201,Cereals and cereal products,"Bread roll, from white flour",74619,bun or roll,0.75,34.0,0
F001353,12201,Cereals and cereal products,"Bread roll, from white flour",74617,bun or roll,0.75,69.0,0
F001358,12201,Cereals and cereal products,"Bread roll, from white flour, toasted",74622,bun or roll,0.75,29.0,0
F001358,12201,Cereals and cereal products,"Bread roll, from white flour, toasted",74621,bun or roll,0.75,59.0,0
F001372,12304,Cereals and cereal products,"Bread roll, topped with cheese",74623,bun or roll,0.75,85.0,0
F001373,12304,Cereals and cereal products,"Bread roll, topped with cheese & bacon",74624,bun or roll,0.75,85.0,0
F001553,12207,Cereals and cereal products,"Bread, from wholemeal flour",74625,slice,0.75,32.0,0
F001597,12207,Cereals and cereal products,"Bread, from wholemeal flour, toasted",74627,slice,0.75,28.0,0
F001573,12207,Cereals and cereal products,"Bread, from wholemeal flour, extra grainy & seeds",74629,slice,0.75,38.0,0
F001576,12207,Cereals and cereal products,"Bread, from wholemeal flour, extra grainy & seeds, toasted",74631,slice,0.75,32.0,0
F001360,12207,Cereals and cereal products,"Bread roll, from wholemeal flour",74634,bun or roll,0.75,69.0,0
F001360,12207,Cereals and cereal products,"Bread roll, from wholemeal flour",74633,bun or roll,0.75,35.0,0
F001364,12207,Cereals and cereal products,"Bread roll, from wholemeal flour, toasted",74635,bun or roll,0.75,30.0,0
F001364,12207,Cereals and cereal products,"Bread roll, from wholemeal flour, toasted",74636,bun or roll,0.75,59.0,0
F001545,12203,Cereals and cereal products,"Bread, from white or wholemeal flour, organic",74637,slice,0.75,48.0,0
F001548,12203,Cereals and cereal products,"Bread, from white or wholemeal flour, organic, toasted",74639,slice,0.75,44.0,0
F001621,12204,Cereals and cereal products,"Bread, mixed grain",74646,slice,0.75,36.0,0
F001644,12204,Cereals and cereal products,"Bread, mixed grain, toasted",74648,slice,0.75,30.0,0
F001513,12204,Cereals and cereal products,"Bread, from white flour, extra grainy & seeds",74609,slice,0.75,37.0,0
F001514,12204,Cereals and cereal products,"Bread, from white flour, extra grainy & seeds, toasted",74611,slice,0.75,31.0,0
F001365,12204,Cereals and cereal products,"Bread roll, mixed grain",74650,bun or roll,0.75,70.0,0
F001368,12204,Cereals and cereal products,"Bread roll, mixed grain, toasted",74651,bun or roll,0.75,60.0,0
F001457,12305,Cereals and cereal products,"Bread, from white flour, added dried fruit",74652,slice,0.75,34.0,0
F001458,12305,Cereals and cereal products,"Bread, from wheat flour, added dried fruit, toasted",74654,slice,0.75,28.0,0
F001600,12307,Cereals and cereal products,"Bread, garlic or herb, commercial, cooked",74641,slice,0.75,36.0,0
F001603,12213,Cereals and cereal products,"Bread, gluten free",74642,slice,0.75,36.0,0
F001609,12213,Cereals and cereal products,"Bread, gluten free, toasted",74644,slice,0.75,30.0,0
F001450,12210,Cereals and cereal products,"Bread, from rye flour, sour dough",74583,slice,0.75,40.0,0
F001451,12210,Cereals and cereal products,"Bread, from rye flour, sour dough, toasted",74585,slice,0.75,28.0,0
F001939,12306,Cereals and cereal products,"Bun, sweet, with dried fruit, iced",74656,bun,0.75,85.0,0
F003313,13606,Cereal based products and dishes,"Crumpet, from white flour, toasted",74657,crumpet,0.75,42.0,0
F005896,12301,Cereals and cereal products,"Muffin, English style, from white flour",74658,muffin,0.75,76.0,0
F005898,12301,Cereals and cereal products,"Muffin, English style, from white flour, toasted",74659,muffin,0.75,67.0,0
F005897,12301,Cereals and cereal products,"Muffin, English style, from white flour, added dried fruit, toasted",74660,muffin,0.75,70.0,0
F001688,11805,Non-alcoholic beverages,"Breakfast cereal, beverage, non-chocolate flavours, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca",74661,tetra pack,0.75,258.0,250
F001374,13303,Cereal based products and dishes,"Bread, banana",74662,slice,0.75,140.0,0
F002159,13302,Cereal based products and dishes,"Cake, lamington, unfilled",74663,lamington,0.75,125.0,0
F002168,13303,Cereal based products and dishes,"Cake, plain butter cake, commercial, iced",74665,cupcake,0.75,20.0,0
F002168,13303,Cereal based products and dishes,"Cake, plain butter cake, commercial, iced",74664,cupcake,0.75,165.0,0
F003575,13605,Cereal based products and dishes,"Doughnut, jam filled, sugar coated",74666,doughnut,0.75,97.0,0
F003573,13605,Cereal based products and dishes,"Doughnut, dusted with cinnamon & sugar",74667,doughnut,0.75,50.0,0
F003574,13605,Cereal based products and dishes,"Doughnut, iced",74668,doughnut,0.75,63.0,0
F005877,13304,Cereal based products and dishes,"Muffin, cake-style, berry, commercial",74669,muffin,0.75,163.0,0
F005882,13304,Cereal based products and dishes,"Muffin, cake-style, chocolate chip, commercial",74670,muffin,0.75,163.0,0
F006700,13602,Cereal based products and dishes,"Pikelet or pancake, sweet, commercial",74671,pikelet,0.75,25.0,0
F008173,13307,Cereal based products and dishes,"Scone, plain, commercial",74672,scone,0.75,65.0,0
F008172,13307,Cereal based products and dishes,"Scone, fruit, commercial",74673,scone,0.75,85.0,0
F006143,12101,Cereals and cereal products,"Oats, rolled, uncooked",74674,sachet,0.75,34.0,0
F007164,12601,Cereals and cereal products,"Porridge, rolled oats, prepared with water",74675,sachet,0.75,198.0,0
F004362,13505,Cereal based products and dishes,"Hamburger, white roll, beef patty, with salad, independent takeaway outlet",74676,burger,0.75,350.0,0
F006055,12402,Cereals and cereal products,"Noodle, wheat, instant, flavoured, dry, uncooked",74677,packet - sachet,0.75,79.0,0
F006053,12402,Cereals and cereal products,"Noodle, wheat, instant, flavoured, boiled, drained",74679,packet - sachet,0.75,145.0,0
F006054,12402,Cereals and cereal products,"Noodle, wheat, instant, flavoured, boiled, undrained",74680,packet - sachet,0.75,385.0,0
F008737,13509,Cereal based products and dishes,"Spaghetti in tomato & cheese sauce, canned",74682,can,0.75,220.0,0
F008738,13509,Cereal based products and dishes,"Spaghetti in tomato & cheese sauce, canned, reduced salt",74683,can,0.75,220.0,0
F003305,13401,Cereal based products and dishes,"Croissant, plain",74684,croissant,0.75,67.0,0
F006493,13405,Cereal based products and dishes,"Pastry, filled with spinach & cheese, purchased frozen, baked",74686,pastry,0.75,140.0,0
F006493,13405,Cereal based products and dishes,"Pastry, filled with spinach & cheese, purchased frozen, baked",74685,pastry,0.75,31.0,0
F006665,13405,Cereal based products and dishes,"Pie, savoury, meat, commercial, ready to eat",74688,pie,0.75,175.0,0
F006665,13405,Cereal based products and dishes,"Pie, savoury, meat, commercial, ready to eat",74687,pie,0.75,38.0,0
F006667,13405,Cereal based products and dishes,"Pie, savoury, meat, purchased frozen, baked",74690,pie,0.75,175.0,0
F006667,13405,Cereal based products and dishes,"Pie, savoury, meat, purchased frozen, baked",74689,pie,0.75,38.0,0
F008098,13405,Cereal based products and dishes,"Sausage roll, commercial, ready to eat",74692,sausage roll,0.75,130.0,0
F008098,13405,Cereal based products and dishes,"Sausage roll, commercial, ready to eat",74691,sausage roll,0.75,40.0,0
F008101,13405,Cereal based products and dishes,"Sausage roll, purchased frozen, baked",74693,sausage roll,0.75,40.0,0
F008101,13405,Cereal based products and dishes,"Sausage roll, purchased frozen, baked",74694,sausage roll,0.75,130.0,0
F008794,13406,Cereal based products and dishes,"Spring roll, meat & vegetable filling, commercial, deep fried",74695,roll,0.75,30.0,0
F008794,13406,Cereal based products and dishes,"Spring roll, meat & vegetable filling, commercial, deep fried",74696,roll,0.75,70.0,0
F006679,13402,Cereal based products and dishes,"Pie, sweet, apple, commercial",74697,pie,0.75,125.0,0
F009102,13403,Cereal based products and dishes,"Tart, custard, commercial",74698,tart,0.75,135.0,0
F008065,23103,Savoury sauces and condiments,"Sauce, soy, commercial",74699,plastic fish,0.75,3.0,0
F008083,23104,Savoury sauces and condiments,"Sauce, tomato, commercial",74700,packet/sachet,0.75,14.0,0
F008085,23104,Savoury sauces and condiments,"Sauce, tomato, commercial, reduced salt",74701,packet/sachet,0.75,14.0,0
F002414,19401,Milk products and dishes,"Cheese, cheddar, natural, regular fat",74702,slice,0.75,21.0,0
F002413,19402,Milk products and dishes,"Cheese, cheddar, natural, reduced fat (approximately 25%)",74703,slice,0.75,21.0,0
F002412,19402,Milk products and dishes,"Cheese, cheddar, natural, reduced fat (approximately 15%)",74704,slice,0.75,21.0,0
F002428,19406,Milk products and dishes,"Cheese, cheddar, processed, regular fat",74705,slice,0.75,21.0,0
F002425,19407,Milk products and dishes,"Cheese, cheddar, processed, reduced fat (approximately 15%), added vitamin D",74706,slice,0.75,21.0,0
F002444,19403,Milk products and dishes,"Cheese, cream, plain",74707,tub,0.75,40.0,0
F004508,19501,Milk products and dishes,"Ice cream, vanilla flavour, regular fat",74708,cup/tub,0.75,127.0,0
F003488,19701,Milk products and dishes,"Dairy or yoghurt dessert, chocolate, regular fat",74709,tub/container,0.75,150.0,0
F009694,19201,Milk products and dishes,"Yoghurt, natural, regular fat (3% fat)",74710,tub/container,0.75,200.0,0
F009741,19205,Milk products and dishes,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",74711,tub/container,0.75,100.0,0
F009741,19205,Milk products and dishes,"Yoghurt, strawberry pieces or flavoured, regular fat (3% fat)",74712,tub/container,0.75,200.0,0
F009749,19205,Milk products and dishes,"Yoghurt, vanilla flavoured, (2% fat)",74713,tub/container,0.75,175.0,0
F009749,19205,Milk products and dishes,"Yoghurt, vanilla flavoured, (2% fat)",74714,tub/container,0.75,200.0,0
F008155,20601,Dairy & meat substitutes,"Sausage, vegetarian style, unfortified, raw",74715,sausage,0.75,72.0,0
F008151,20601,Dairy & meat substitutes,"Sausage, vegetarian style, added Fe, Zn and vitamin B12, raw",74716,sausage,0.75,72.0,0
F008153,20601,Dairy & meat substitutes,"Sausage, vegetarian style, fried, no added fat",74717,fillet,0.75,100.0,0
F009739,20502,Dairy & meat substitutes,"Yoghurt, soy based, vanilla flavoured, reduced fat (1% fat)",74718,tub/container,0.75,175.0,0
F001973,14101,Fats and oils,"Butter, plain, salted",74719,packet/sachet,0.75,7.0,0
F001971,14101,Fats and oils,"Butter, plain, no added salt",74720,packet/sachet,0.75,7.0,0
F005370,14301,Fats and oils,"Margarine spread, polyunsaturated (70% fat)",74721,packet/sachet,0.75,4.7,0
F005373,14301,Fats and oils,"Margarine spread, polyunsaturated (70% fat), reduced salt (sodium 280 mg/100 g)",74722,packet/sachet,0.75,4.7,0
F005319,14306,Fats and oils,"Margarine spread, monounsaturated (70% fat), reduced salt (sodium 350 mg/100 g), added phytosterols",74723,packet/sachet,0.75,4.7,0
F005309,14303,Fats and oils,"Margarine spread, monounsaturated (>65% fat)",74724,packet/sachet,0.75,4.7,0
F005310,14303,Fats and oils,"Margarine spread, monounsaturated (>65% fat), reduced salt (sodium 360 mg/100 g)",74725,packet/sachet,0.75,4.7,0
F005345,14304,Fats and oils,"Margarine spread, monounsaturated, reduced fat (<65% fat)",74726,packet/sachet,0.75,4.7,0
F003729,17101,Egg products and dishes,"Egg, chicken, whole, raw",74729,egg,0.75,44.0,0
F003721,17101,Egg products and dishes,"Egg, chicken, whole, hard-boiled",74730,egg,0.75,41.0,0
F003725,17101,Egg products and dishes,"Egg, chicken, whole, poached",74731,egg,0.75,42.0,0
F003718,17101,Egg products and dishes,"Egg, chicken, whole, fried, no fat added",74732,egg,0.75,39.0,0
F003724,17102,Egg products and dishes,"Egg, chicken, whole, omega-3 polyunsaturate enriched, raw",74727,egg,0.75,44.0,0
F003723,17102,Egg products and dishes,"Egg, chicken, whole, omega-3 polyunsaturate enriched, boiled",74728,egg,0.75,44.0,0
F000086,16101,Fruit products and dishes,"Apple, bonza, unpeeled, raw",74733,fruit,0.75,164.0,0
F000091,16101,Fruit products and dishes,"Apple, fuji, unpeeled, raw",74734,fruit,0.75,164.0,0
F000092,16101,Fruit products and dishes,"Apple, golden delicious, unpeeled, raw",74735,fruit,0.75,151.0,0
F000095,16101,Fruit products and dishes,"Apple, granny-smith, unpeeled, raw",74736,fruit,0.75,153.0,0
F000099,16101,Fruit products and dishes,"Apple, jonathon, unpeeled, raw",74737,fruit,0.75,162.0,0
F000105,16101,Fruit products and dishes,"Apple, pink lady, unpeeled, raw",74738,fruit,0.75,164.0,0
F000107,16101,Fruit products and dishes,"Apple, red delicious, unpeeled, raw",74739,fruit,0.75,164.0,0
F000111,16101,Fruit products and dishes,"Apple, royal gala, unpeeled, raw",74740,fruit,0.75,164.0,0
F000110,16101,Fruit products and dishes,"Apple, red skin, unpeeled, raw",74741,fruit,0.75,164.0,0
F000134,16403,Fruit products and dishes,"Apricot, raw",74742,fruit,0.75,20.0,0
F000262,16501,Fruit products and dishes,"Banana, cavendish, peeled, raw",74744,fruit,0.75,98.0,0
F000267,16501,Fruit products and dishes,"Banana, lady finger or sugar, peeled, raw",74745,fruit,0.75,78.0,0
F003423,16504,Fruit products and dishes,"Custard apple, African pride, peeled, raw",74746,fruit,0.75,468.0,0
F003496,16802,Fruit products and dishes,"Date, dried",74747,fruit,0.75,5.0,0
F003818,16504,Fruit products and dishes,"Feijoa, raw",74748,fruit,0.75,30.0,0
F003832,16802,Fruit products and dishes,"Fig, dried",74749,fruit,0.75,19.0,0
F003834,16503,Fruit products and dishes,"Fig, fresh, unpeeled, raw",74750,fruit,0.75,50.0,0
F004262,16303,Fruit products and dishes,"Grapefruit, peeled, raw",74751,fruit,0.75,258.0,0
F004286,16504,Fruit products and dishes,"Guava, Hawaiian, raw",74752,fruit,0.75,90.0,0
F004594,16504,Fruit products and dishes,"Jackfruit, peeled, raw",74753,fruit,0.75,805.0,0
F004816,16601,Fruit products and dishes,"Kiwifruit, green (hayward), peeled, raw",74754,fruit,0.75,78.0,0
F004815,16601,Fruit products and dishes,"Kiwifruit, gold, peeled, raw",74755,fruit,0.75,78.0,0
F005174,16302,Fruit products and dishes,"Lemon, peeled, raw",74756,fruit,0.75,99.0,0
F005199,16302,Fruit products and dishes,"Lime, peeled, raw",74757,fruit,0.75,49.0,0
F005244,16105,Fruit products and dishes,"Loquat, peeled, raw",74758,fruit,0.75,13.0,0
F005255,16504,Fruit products and dishes,"Lychee, peeled, raw",74759,fruit,0.75,10.0,0
F005293,16303,Fruit products and dishes,"Mandarin, peeled, raw",74760,fruit,0.75,75.0,0
F005299,16504,Fruit products and dishes,"Mango, peeled, raw",74761,fruit,0.75,294.0,0
F006021,16401,Fruit products and dishes,"Nectarine, yellow, unpeeled, raw",74762,fruit,0.75,151.0,0
F006277,16301,Fruit products and dishes,"Orange, peeled, raw",74763,fruit,0.75,131.0,0
F006276,16301,Fruit products and dishes,"Orange, navel, peeled, raw",74764,fruit,0.75,162.0,0
F006279,16301,Fruit products and dishes,"Orange, valencia, peeled, raw",74765,fruit,0.75,131.0,0
F006333,16504,Fruit products and dishes,"Passionfruit, raw",74766,fruit,0.75,18.0,0
F006573,16401,Fruit products and dishes,"Peach, yellow, unpeeled, raw",74767,fruit,0.75,145.0,0
F006604,16103,Fruit products and dishes,"Pear, nashi, unpeeled, raw",74768,fruit,0.75,190.0,0
F006628,16503,Fruit products and dishes,"Persimmon, peeled, raw",74769,fruit,0.75,76.0,0
F006708,16505,Fruit products and dishes,"Pineapple, canned in pineapple juice, drained",74770,slice,0.75,40.0,0
F006832,16403,Fruit products and dishes,"Plum, unpeeled, raw",74771,fruit,0.75,66.0,0
F006826,16404,Fruit products and dishes,"Plum, dark, canned in syrup, drained",74772,fruit,0.75,31.0,0
F006842,16504,Fruit products and dishes,"Pomegranate, peeled, raw",74773,fruit,0.75,240.0,0
